ALLIGATOR,APPLE
LEOPARD,MIRROR
VOLCANO,MOUNTAIN
ELEPHANT,KEY
LOBSTER,CIGARETTE
BUTTERFLY,TRUCK
KITE,CLOCK
VIOLIN,CAT
EAGLE,TOOTH
TRUMPET,JACKET
BARREL,BOTTLE
OWL,SHIRT
BEETLE,POTATO
GRASSHOPPER,BIRD
FROG,BREAD
DEER,PENCIL
FOX,ICE
PIG,TOMATO
GOAT,RIVER
LION,BALL
ANT,SOAP
SQUIRREL,STAR
OAR,THUMB
VEST,FORK
TIGER,POT
MOUSE,BOAT
BULLET,RADIO
SHEEP,GLOVE
RIFLE,STUDENT
CANNON,BRIDGE
RABBIT,COFFEE
SKUNK,SHEET
HELMET,SUN
UMBRELLA,MILK
DUCK,CHURCH
COW,FOOT
TONGUE,MOON
FENCE,PEAR
CHISEL,NEWSPAPER
CIGAR,NAIL
STRAWBERRY,SPOON
PEACH,FISH
NECKLACE,LEG
STATUE,PEPPER
LAWN,PLUG
CHERRY,BUTTON
STOVE,BLANKET
ANCHOR,EAR
BALLOON,SONG
BELL,DOG
PINEAPPLE,LAMP
TOASTER,TELEPHONE
WHISTLE,BOWL
PIANO,WHEEL
MONKEY,PILL
SEAL,SUGAR
PIPE,BRAIN
REFRIGERATOR,TOWEL
NEEDLE,DESK
FLAG,HORSE
BROOM,BOOK
STOOL,TOY
DOUGH,FLOWER
HORN,HOTEL
GORILLA,FLY
BEE,IRON
BASKET,THROAT
CHICKEN,SOCK
ONION,POCKET
CANDLE,GARDEN
CORN,BEAR
ENGINE,ENVELOPE
LEAF,PLANE
SCISSORS,STAIR
KETTLE,CLOTH
FLAME,TIE
BENCH,DRESSER
CARROT,TAIL
MOVIE,COAT
CHALK,RULER
COACH,GLASS
CANDY,MUSIC
POOL,TRAIN
PHONE,SODA
BOOT,LOCK
BLOUSE,SEED
PURSE,HAT
GUN,WIND
CLOUD,HARP
PANTS,PLATE
