WORD BFRQ FAM IMG KFFRQ NSYL T-LFRQ
ACCORDION - 394 576 1 3 10
AIRPLANE - - - 11 2 257
ALLIGATOR - 442 627 4 4 44
ANCHOR 1 458 561 15 2 76
ANT - 511 613 6 1 30
APPLE 3 598 637 9 1 220
ARM 3 608 593 94 1 2338
ARMY 40 555 578 132 2 340
ARTICHOKE - - - - 3 11
ASPARAGUS - 534 590 1 4 53
AXE - 461 597 6 1 -
BALL 1 575 622 110 1 503
BALLET 4 - - 45 2 14
BALLOON - 520 583 10 2 69
BANANA 2 576 644 4 3 -
BARN - 466 589 29 1 176
BARREL 2 487 602 24 2 71
BASEBALL - - - - - -
BASKET 2 485 560 17 2 214
BATON - 424 516 10 2 13
BEAR 9 526 572 57 1 605
BED 18 636 635 127 1 1236
BEE 1 554 623 11 1 172
BEER 31 604 598 34 1 133
BEETLE - 503 640 - 1 14
BELL 6 543 610 18 1 109
BELT 3 550 494 29 1 146
BENCH - 488 555 35 1 226
BICYCLE 1 - - 5 3 37
BIKE - - - - 1 -
BIRD - 592 614 31 1 386
BLANKET 3 563 582 30 2 210
BLOUSE - 562 595 1 1 85
BOAT 9 584 631 72 1 609
BOOK 108 643 591 193 1 684
BOOT - 566 604 13 1 134
BOTTLE 24 591 619 76 1 402
BOW 5 489 546 15 1 350
BOWL 2 557 579 23 1 268
BOX 15 599 591 70 1 635
BRAIN 7 580 572 45 1 401
BREAD - 611 619 41 1 423
BRICK 2 529 574 18 1 201
BRIDGE 7 561 608 98 1 467
BROOM - 547 608 2 1 34
BRUSH - 579 570 44 1 404
BULLET - 517 611 28 2 132
BUS 5 - - 34 1 125
BUTTER 1 615 603 27 2 578
BUTTERFLY - 481 624 2 3 65
BUTTON 2 573 580 10 2 196
CAKE 2 594 624 13 1 531
CAMEL - 421 561 1 2 24
CANDLE - 544 594 18 2 148
CANDY - 559 601 16 2 172
CANNON - 498 588 7 2 44
CANVAS - - - 19 2 61
CAP 1 429 - 27 1 199
CAR 29 634 638 274 1 2218
CARROT - 539 577 1 2 96
CAT - 582 617 23 1 306
CELERY - - - 4 3 107
CHAIN 2 513 559 50 1 175
CHAIR 10 617 610 66 1 1298
CHALK - 560 601 3 1 31
CHARITY 3 518 445 8 3 158
CHEF - - - 9 1 39
CHERRY 15 514 582 6 2 167
CHICKEN - 544 619 37 2 357
CHISEL - 469 567 4 2 30
CHORUS 1 408 509 18 2 96
CHURCH 10 560 616 348 1 548
CIGAR 1 536 619 10 2 137
CIGARETTE 4 573 645 25 3 332
CLASS 13 - - 207 1 687
CLOCK - 608 614 20 1 235
CLOTH - 561 547 43 1 275
CLOUD - 553 595 28 1 367
COACH 1 509 560 24 1 205
COAT 5 610 572 43 1 896
COFFEE 44 625 618 78 2 580
COMB - - - 6 1 96
CORN - 548 601 34 1 227
COUCH - 521 536 12 1 108
COW 1 529 632 29 1 218
CRAYON - - - - 1 19
CUP 9 595 558 45 1 1336
DEER - 509 624 13 1 47
DESK 7 583 574 65 1 539
DICE - 487 - 14 1 64
DINNER 27 621 570 91 2 1266
DISEASE 13 580 487 53 2 325
DOCTOR 32 573 600 100 2 1631
DOG 8 598 636 75 1 811
DONKEY 1 - - 1 2 20
DOOR 25 630 599 312 1 2511
DOUGH - 474 558 13 1 111
DRESS 1 588 595 67 1 1790
DRESSER - 526 556 1 2 61
DUCK 1 529 632 9 1 177
EAGLE - 465 601 5 2 101
EAR 1 560 597 29 1 595
ELEPHANT - 459 616 7 3 144
ENGINE 6 543 595 50 2 262
ENVELOPE - 542 554 21 3 221
EYE 12 611 603 122 1 5786
FENCE 1 526 611 30 1 256
FINGER 6 - - 40 2 858
FIRE 15 580 634 187 2 1319
FISH - 548 615 35 1 597
FIST - - - 26 1 132
FLAG - 545 607 16 1 135
FLAME - 551 598 17 1 259
FLOWER - 566 618 23 2 902
FLUTE - 496 581 1 1 13
FLY 2 537 582 33 1 634
FOOD 12 579 539 147 1 1000
FOOT 10 583 597 70 1 505
FOOTBALL - 565 597 36 2 203
FORK 1 584 598 14 1 137
FOX - 501 607 13 1 135
FROG - 507 617 1 1 35
GARDEN 14 567 635 60 2 1036
GIRAFFE - 381 - - 2 1
GLASS 18 611 585 99 1 1001
GLASSES 20 - - - - -
GLOVE - 575 596 9 1 167
GOAT - 469 585 6 1 57
GORILLA - 554 634 - 3 12
GRAIN - - - 27 1 121
GRAPES 7 - - - - -
GRASSHOPPER - 507 630 - 3 20
GUEST 1 560 497 39 1 593
GUITAR - 550 - 19 2 43
GUM - - - 14 1 49
GUN 4 519 613 118 1 692
HAIR 11 575 580 148 1 1183
HAMMER 2 515 618 9 2 106
HAND 42 601 598 431 1 3334
HANGER - - - - 2 16
HARP - 430 621 1 1 52
HAT 3 580 562 56 1 976
HEART 14 578 617 173 1 2067
HELICOPTER - - - 1 4 -
HELMET - 528 620 1 2 48
HORN 1 498 566 31 1 217
HORSE 1 560 624 117 1 851
HOSE - 449 572 9 1 -
HOTEL 9 565 597 126 2 832
HOUSE 57 600 606 591 1 4231
ICE - 564 635 45 1 428
IRON 1 555 561 43 2 454
ITCH - 526 486 5 1 20
JACKET - 596 611 33 2 192
JOB 119 578 470 238 1 1724
JOKE 6 580 483 22 1 230
KANGAROO 4 - - - 3 7
KETTLE 7 551 594 3 2 107
KEY 19 603 618 88 1 268
KITE - 481 624 1 1 13
KNIFE 1 573 633 76 1 251
LADDER 2 507 - 19 2 99
LAMP - 578 575 18 1 270
LAW 23 562 409 299 1 871
LAWN - 534 608 15 1 203
LEAF - 556 608 12 1 155
LEG - 589 601 58 1 642
LEMON 5 518 632 18 2 301
LENS 3 519 556 12 1 20
LEOPARD - 431 635 - 2 13
LETTER 46 610 595 145 2 1748
LEVER - 518 515 14 2 15
LIGHT 12 575 542 333 1 2387
BULB - - - 7 1 119
LION - 511 626 17 1 111
LOBSTER - 472 630 1 2 45
LOCK 4 588 532 23 1 277
LOLLIPOP - - - - 3 -
MATCH 6 558 490 41 1 470
MILK 12 588 638 49 1 663
MIRROR - 593 627 27 2 356
MITTEN - - - - 2 31
MONEY 88 631 604 265 2 3089
MONKEY - 531 588 9 2 64
MOON 1 585 585 60 1 285
MOTOR - 545 521 56 2 443
MOUNTAIN 1 574 629 33 2 288
MOUSE 2 520 615 10 1 48
MOUTH 10 572 613 103 1 699
MOVIE 1 523 571 29 2 285
MUSIC 23 599 549 216 2 660
NAIL - 563 588 6 1 171
NECKLACE - 536 606 3 2 64
NEEDLE - 533 589 15 1 88
NEWSPAPER 3 641 616 65 3 610
NOSE 3 584 605 60 1 478
NUT 1 - - 15 1 205
OAR - 496 592 - 1 25
OFFICE 18 566 518 255 2 1640
ONION - 550 617 15 2 268
ORANGE 3 567 626 23 2 351
OSTRICH - 358 - - 2 7
OVEN - 577 599 7 2 326
OWL - 477 595 2 1 34
PANTS - 575 630 9 1 43
PAPER 50 635 590 157 2 1235
PEACH - 536 613 3 1 154
PEACOCK - - - 2 2 26
PEANUT 1 - - 6 2 39
PEAR 1 567 590 6 1 62
PEN 2 554 576 18 1 144
PENCIL 1 598 607 34 2 186
PENDULUM - 407 605 2 3 9
PENGUIN - 360 - - 2 6
PEPPER - 554 587 13 2 285
PERFUME - - - 10 2 150
PHONE 21 550 587 54 1 272
PIANO - 545 630 38 2 212
PIG 1 509 635 8 1 75
PILL - 556 580 15 1 30
PILLS - - - - - -
PINEAPPLE - 489 569 9 3 235
PIPE 5 535 598 20 1 227
PITCHER - - - 21 2 155
PLANE 4 558 556 114 1 555
PLATE 2 556 527 22 1 316
PLIERS 1 499 588 1 2 -
PLUG 2 575 583 23 1 75
POCKET 2 590 558 46 2 572
POOL 2 541 577 111 1 194
POT 1 577 598 28 1 232
POTATO - 612 617 15 3 384
PRIZE - 508 517 28 1 306
PROBLEM 42 596 411 313 2 1079
PUMPKIN - - - 2 2 65
PURSE 3 533 567 14 1 140
RABBIT - 523 611 11 2 96
RACCOON - - - - - -
RADIO 15 644 613 120 3 393
RAZOR - 511 - 15 2 27
REFRIGERATOR - 545 612 23 5 169
RHINOCEROS - 400 - 3 4 4
RIFLE 1 477 581 63 2 181
RIVER 4 565 633 165 2 455
ROOSTER - 385 - 3 2 8
RULER - 571 543 3 2 24
SALOON - 381 608 12 2 95
SANDWICH 1 - - 10 2 291
SAW 41 552 531 352 1 2443
SCALE 10 523 463 60 1 156
SCHOOL 87 582 599 492 1 1585
SCISSORS 1 559 609 1 2 29
SCREW 1 - - 21 1 79
SCREWDRIVER - 544 617 - 3 -
SEAL - 482 563 17 1 154
SECRET 3 - - 78 2 453
SEED - 514 542 41 1 284
